",0"
"Gross,Yes"
"Net,No"
"Conventional Accounting,No"
"Economic Sector,Transportation"
"Sector,Energy"
"Category,Fuel Combustion"
"Sub-Category 1,Transportation"
"Sub-Category 2,Road"
"Sub-Category 3,Gasoline"
"Year,1990"
"Gas,Biogenic CO2"
"MT CO2e AR5 20 yr,0"
"MT CO2e AR4 100 yr,0"
"Gross,Yes"
"Net,No"
"Conventional Accounting,No"
"Economic Sector,Transportation"
"Sector,Energy"
"Category,Fuel Combustion"
"Sub-Category 1,Transportation"
"Sub-Category 2,Road"
"Sub-Category 3,Diesel"
"Year,1990"
"Gas,Biogenic CO2"
"MT CO2e AR5 20 yr,0"
"MT CO2e AR4 100 yr,0"
"Gross,Yes"
"Net,No"
"Conventional Accounting,No"
"Economic Sector,Transportation"
"Sector,Energy"
"Category,Fuel Combustion"
"Sub-Category 1,Transportation"
"Sub-Category 2,Road"
"Sub-Category 3,CNG"
"Year,1990"
"Gas,Biogenic CO2"
"MT CO2e AR5 20 yr,0"
"MT CO2e AR4 100 yr,0"
"Gross,Yes"
"Net,Yes"
"Conventional Accounting,Yes"
"Economic Sector,Transportation"
"Sector,Energy"
"Category,Fuel Combustion"
"Sub-Category 1,Transportation"
"Sub-Category 2,Nonroad - Aviation"
"Sub-Category 3,Jet Fuel"
"Year,1990"
"Gas,CH4"
"MT CO2e AR5 20 yr,0"
"MT CO2e AR4 100 yr,0"
"Gross,Yes"
"Net,No"
"Conventional Accounting,No"
"Economic Sector,Transportation"
"Sector,Energy"
"Category,Fuel Combustion"
"Sub-Category 1,Transportation"
"Sub-Category 2,Nonroad - Railroad"
"Sub-Category 3,Distillate Fuel"
"Year,1990"
"Gas,Biogenic CO2"
"MT CO2e AR5 20 yr,0"
"MT CO2e AR4 100 yr,0"
"Gross,Yes"
"Net,No"
"Conventional Accounting,No"
"Economic Sector,Transportation"
"Sector,Energy"
"Category,Fuel Combustion"
"Sub-Category 1,Transportation"
"Sub-Category 2,Military"
